"","id","sitenum","steady","colnum","mins","mags","magsdiv","recov.rate","recov.time","dpy1","dpy2"
"181","000000000000000000b4",181,285,12,247,38,0.133333333333333,15.2,2.5,0,0
"182","000000000000000000b5",182,302.333333333333,13,224,78.3333333333333,0.25909592061742,14.2857142857143,5.48333333333333,0,1
"183","000000000000000000b6",183,338.666666666667,12,334,4.66666666666669,0.0137795275590552,4.99999999999989,0.933333333333358,0,0
"184","000000000000000000b7",184,364,13,336,28,0.0769230769230769,7.97142857142856,3.51254480286739,0,0
"185","000000000000000000b8",185,261,12,204,57,0.218390804597701,8.42857142857143,6.76271186440678,1,0
"186","000000000000000000b9",186,319.666666666667,12,257,62.6666666666667,0.196037539103233,10.7428571428571,5.83333333333336,1,0
"187","000000000000000000ba",187,210.333333333333,12,181,29.3333333333333,0.13946117274168,3.51428571428572,8.34688346883468,0,0
"188","000000000000000000bb",188,284,12,211,73,0.257042253521127,22.5,3.24444444444445,1,0
"189","000000000000000000bc",189,290.333333333333,13,244,46.3333333333333,0.159586681974742,10.6,4.37106918238993,0,1
"190","000000000000000000bd",190,312,12,255,57,0.182692307692308,17.9999999999999,3.16666666666668,1,0
"191","000000000000000000be",191,271.666666666667,12,183,88.6666666666667,0.32638036809816,17.4857142857143,5.07080610021786,1,0
"192","000000000000000000bf",192,237,12,212,25,0.105485232067511,4.39999999999999,5.6818181818182,0,0
"193","000000000000000000c0",193,309,12,160,149,0.482200647249191,40.5,3.67901234567902,1,0
"194","000000000000000000c1",194,256.666666666667,12,240,16.6666666666667,0.064935064935065,6.99999999999992,2.38095238095241,0,0
"195","000000000000000000c2",195,275.333333333333,12,181,94.3333333333333,0.342615012106537,15.1071428571429,6.24428684003152,1,0
"196","000000000000000000c3",196,303.333333333333,12,189,114.333333333333,0.376923076923077,21.9142857142857,5.21729682746632,1,0
"197","000000000000000000c4",197,299.333333333333,12,232,67.3333333333333,0.224944320712695,13.4285714285714,5.01418439716312,1,0
"198","000000000000000000c5",198,249.666666666667,13,226,23.6666666666667,0.0947930574098798,8.09999999999999,2.92181069958848,0,0
"199","000000000000000000c6",199,270.666666666667,12,272,-1.33333333333331,-0.00492610837438417,3.0000000000001,-0.444444444444423,0,0
"200","000000000000000000c7",200,255.333333333333,12,275,-19.6666666666667,-0.0770234986945169,NA,NA,0,0
"201","000000000000000000c8",201,299,13,185,114,0.381270903010033,20.1142857142857,5.66761363636364,0,1
"202","000000000000000000c9",202,315,13,193,122,0.387301587301587,56.5,2.15929203539823,0,1
"203","000000000000000000ca",203,317.666666666667,12,184,133.666666666667,0.420776495278069,23.6785714285714,5.64504776269482,1,0
"204","000000000000000000cb",204,366.333333333333,12,332,34.3333333333333,0.0937215650591446,7.21428571428572,4.75907590759075,0,0
